@relation spirals
@attribute A1 numeric
@attribute A2 numeric
@attribute Class {1, 2}
@data
0.2860505136, 0.015050589, 1
0.3923626329, 0.008389699, 1
0.4127463841, 0.031540927, 1
0.4133174151, -0.448031515, 2
0.3945269249, 0.061292138, 1
0.3588667914, 0.089169081, 1
0.3284958543, 0.112649083, 1
0.3977032986, 0.142513224, 1
0.3678749774, 0.165861985, 1
-0.1061217998, 0.846352388, 2
-0.2952695292, -0.311133622, 2
0.3915097826, -0.488540288, 2
-0.8797795112, 0.491472368, 2
-0.9335414282, 0.174748414, 2
0.3178646281, 0.181259934, 1
0.3374270802, 0.212417381, 1
-0.2816370352, -0.335890379, 2
0.5315891305, -0.290779997, 2
0.3388465907, 0.241008082, 1
0.3876439839, 0.699541715, 2
0.479648695, -0.346699012, 2
0.3332375171, 0.268486763, 1
0.2470048519, 0.253089622, 1
0.6099678841, -0.111926112, 2
0.2814403859, 0.302281969, 1
0.2691008244, 0.326636068, 1
0.2924114619, 0.382483779, 1
-0.2072584436, -0.343936282, 2
-0.3140891941, -0.180356637, 2
0.2102795502, 0.346858045, 1
0.6706793504, 0.361654624, 2
0.3612970173, -0.31207273, 2
0.2083950539, 0.383920766, 1
-0.3547215757, -0.217805194, 2
-0.0535042027, 0.826256931, 2
0.217041624, 0.4405254, 1
-0.8859534666, 0.420247968, 2
0.0609209336, -0.552911448, 2
-0.2606948954, -0.355641701, 2
0.1519795513, 0.402525025, 1
0.5802345453, 0.424174425, 2
0.1728318937, 0.491825899, 1
0.4501677655, -0.369935401, 2
0.0963493766, 0.416596452, 1
0.0835450876, 0.456616798, 1
0.0618722168, 0.485305018, 1
0.0334145393, 0.5010109, 1
-0.0029157853, 0.486259686, 1
-0.0276527638, 0.534444559, 1
-0.0689157047, 0.450833535, 1
-0.2799261369, -0.243653341, 2
-0.541884686, 0.751085816, 2
-0.0973580852, 0.517061299, 1
-0.3912305169, -0.169811963, 2
0.6721497778, 0.042265348, 2
-0.1303289817, 0.497801043, 1
-0.0192056975, -0.450589546, 2
0.6395628187, 0.169232526, 2
-0.1673475054, 0.528682864, 1
0.5588614685, 0.583844187, 2
-0.19911184, 0.503833372, 1
-1.0, 0.066312669, 2
-0.2233242896, 0.457395413, 1
0.5552483834, -0.01806607, 2
-0.2842664778, 0.539530731, 1
-0.2804193287, 0.423389283, 1
-0.0892623749, -0.469914731, 2
0.6267361454, 0.395266167, 2
-0.3673248198, 0.530583249, 1
-0.3695315963, 0.44907799, 1
-0.4163658035, 0.452755686, 1
0.5611013246, -0.264058919, 2
0.4653623709, -0.282395423, 2
0.4811555435, 0.582583396, 2
-0.6671459272, 0.625638588, 2
0.3039098469, -0.396999586, 2
-0.5994836959, 0.731881728, 2
0.0629075604, 0.882086504, 2
-0.4708073842, 0.459806215, 1
-0.4437701514, 0.36238123, 1
-0.006764713, 0.780203402, 2
-0.4831575108, 0.350336109, 1
-0.517268945, 0.329660629, 1
-0.5950256432, 0.341447381, 1
-0.5591726457, 0.262712894, 1
-0.5311684332, 0.199494954, 1
-0.7361455258, 0.613708545, 2
0.5845088201, -0.231811547, 2
-0.564128586, 0.175812425, 1
-0.595965865, 0.148601699, 1
-0.7155049187, 0.150584594, 1
0.6394028799, -0.167771699, 2
-0.2162649769, 0.851480756, 2
-0.6315356284, 0.674303966, 2
-0.1539513392, 0.74655311, 2
-0.6769284174, 0.09035837, 1
0.4578495482, 0.70437232, 2
-0.606446184, 0.029634863, 1
-0.9469751508, 0.311166583, 2
-0.3348863505, -0.067470762, 2
-0.7282369182, 0.00979921, 1
-0.9566228927, 0.118383703, 2
-0.284868086, -0.220131927, 2
0.2746271969, -0.509767114, 2
-0.6894776129, 0.488513938, 2
0.132662653, -0.54218861, 2
-0.6819451999, -0.041347172, 1
-0.4198247587, 0.75882734, 2
0.1955056177, -0.484345005, 2
0.1694733522, -0.546648689, 2
-0.7157034229, -0.084030336, 1
-0.3250314748, -0.002642564, 2
-0.655343983, -0.127994012, 1
0.3517534344, 0.73779541, 2
-0.7716992376, 0.485988349, 2
-0.6223751426, -0.167517173, 1
-0.6162231256, -0.208131429, 1
-0.6777731191, -0.264950765, 1
-0.5923428988, -0.287751578, 1
-0.2424403087, -0.421516683, 2
-0.6370962862, -0.349153914, 1
0.3153190489, 0.779235569, 2
0.0970746991, -0.539223542, 2
-0.6394620411, -0.400956799, 1
0.4404726243, 0.609678127, 2
-0.6103947672, -0.440054059, 1
-0.1138085006, -0.392849569, 2
-0.6087610739, -0.495281203, 1
-0.4664365392, 0.728759406, 2
